Marca,Modelo,Ano,Combustível,Lance,Taxa Adm,Valor_FIPE,BrandID
PEUGEOT,206,09/10,--,1.900,null,44
IMP RENAULT,CLIO CAM 10 16V H,10/11,--,1.900,null,48
IMP LR,DISCOVERY3 TD V6 HSE,05/06,--,1.900,null,33
IMP NISSAN,SENTRA,07/08,--,1.900,null,43
FOTOVOLTAICO,58 – MOD. RISEN RSM40,  ,R$ 12.200,CONSULTE TABELA,null,0
RENAULT,KWID OUTSID 10 MT,21/22,R$ 20.000,1.900,null,48
CHEVROLET,MONTANA LS C ABERTA,11/12,R$ 17.500,1.900,null,23
VW,25.420 CTC 6X2 CAB. EST.,19/20,--,4.500,null,59
IMP VW,JETTA HL AD,15/15,R$ 48.000,1.900,null,59
MAN,TGX 28.440 6X2 T,14/14,--,5.400,null,0
VOLVO,VM 23 240 6X2R,05/05,--,4.230,null,58
VOLVO,VM 330 6X4R PRANCHA,14/15,--,5.400,null,58
FIAT,PALIO ATTRACTIV 1.0,14/15,--,2.300,null,21
CHEV,PRISMA 1.0 MT LT,14/14,--,1.960,null,23
FIAT,UNO VIVACE 1.0,13/14,R$ 16.000,1.960,null,21
FORD,FIESTA FLEX,12/13,--,1.960,null,22
IMP FORD,FOCUS TI AT 2.0 HC,16/17,--,1.960,null,22
HYUNDAI,HB20S 1.0M COMF,17/18,--,1.960,null,26
RENAULT,KWID INTENS 10 MT,18/19,--,1.960,null,48
HONDA,CG 160 START,24/24,--,560,null,25
HONDA,NXR 160 BROS ESDD,19/19,R$ 10.000,560,null,25
SHINERAY,SHI 175,23/24,R$ 7.600,560,null,183
GM,PRISMA JOY,09/10,--,1.960,null,23
HYUNDAI,HB20 1.6A PREM,12/13,--,1.960,null,26
VW,NOVO GOL 1.6 CITY,13/14,R$ 15.600,1.960,null,59
HYUNDAI,HB20S 1.0M COMF,14/15,--,1.960,null,26
GM,CORSA HATCH MAXX,11/12,--,1.960,null,23
